keys;nl_NL;nl;en;en_BW
RestartWarning;Na wijzigen herstart de applicatie;Na wijzigen herstart de applicatie;After change the application restarts;After change the application restarts
Skip;Overslaan;Overslaan;Skip;Skip
RowingClubName;Roeivereniging;Roeivereniging;Rowing club;Rowing club
DoNotForgetToMoveOarsOutOfTheWay;Vergeet het commando ‘{Slippen}’ om tussen de boeien door te varen;Vergeet het commando ‘{Slippen}’ om tussen de boeien door te varen;Do not forget the command ‘{Slippen}’ to row between the buoys;Do not forget the command ‘{Slippen}’ to row between the buoys
EndPracticeFeedbackQuestion;Hoe bevalt tot nu toe de app?;Hoe bevalt tot nu toe de app?;How do you like the app so far?;How do you like the app so far?
EndPracticeFeedbackQuestion2;(Ik hoor het graag maar je hoeft het niet in te vullen);(Ik hoor het graag maar je hoeft het niet in te vullen);(I'd love to hear your thoughts, but you don’t have to fill it in);(I'd love to hear your thoughts, but you don’t have to fill it in)
HighContrast;Hoog contrast;Hoog contrast;High contrast;High contrast
ShareSettingsUsingServer;Korte instellingenlink:;Korte instellingenlink:;Short settings link:;Short settings link:
StartBridgePractice;Smalle brug oefening (v.a. les 4);Smalle brug oefening;Narrow bridge practice;Narrow bridge practice
BridgeExplainText;Voer de volgende stappen uit om onder de smalle brug door te varen naar de ster.\n\n1) {SlagklaarAf} vaar recht door naar de brug.\n2) {LaatLopen} vlak voor de brug zodat de boot zo veel mogelijk vaart heeft.\n3) Direct daarna {Slippen} zodat de boot onder de brug pas. \n4) {PakMaarWeerOp} om weer door te roeien naar de ster.\n;Voer de volgende stappen uit om onder de smalle brug door te varen naar de ster.\n\n1) {SlagklaarAf} vaar recht door naar de brug.\n2) {LaatLopen} vlak voor de brug zodat de boot zo veel mogelijk vaart heeft.\n3) Direct daarna {Slippen} zodat de boot onder de brug pas. \n4) {PakMaarWeerOp} om weer door te roeien naar de ster.\n;Follow the steps below to row under the narrow bridge towards the star\n\n1) {SlagklaarAf} row straight towards the bridge.\n2) {LaatLopen} just before the bridge so the boat has as much speed as possible.\n3) Immediately after, {Slippen} so the boat fits under the bridge.\n4) {PakMaarWeerOp} to continue rowing towards the star.\n;Follow the steps below to row under the narrow bridge towards the star\n\n1) {SlagklaarAf} row straight towards the bridge.\n2) {LaatLopen} just before the bridge so the boat has as much speed as possible.\n3) Immediately after, {Slippen} so the boat fits under the bridge.\n4) {PakMaarWeerOp} to continue rowing towards the star.\n
StartAangelegdUitzetten;Wegvaren oefening (uitzetten);Wegvaren oefening (uitzetten);Sail away practice (push away);Sail away practice (push away)
VisiblePracticesUseDefault;Gebruik standaard zichtbaarheid van vereniging en/of taal;Gebruik standaard zichtbaarheid van vereniging en/of taal;Use default visibility of rowing club and/or language;Use default visibility of rowing club and/or language
NewTitle;Nieuwe titel;Nieuwe titel;New title;New title
ClickSwitchHint;Klik op de schakelaar om de titel te veranderen;Klik op de schakelaar om de titel te veranderen;Click on the switch to change the title;Click on the switch to change the title
Cancel;Annuleren;Annuleren;Cancel;Cancel
Ok;Ok;Ok;Ok;Ok
TextModified;(Tekst gewijzigd);(Tekst gewijzigd);(Text modified);(Text modified)
ModifyText;Wijzig tekst;Wijzig tekst;Modify text;Modify text
Practice;Oefening;Oefening;Practice;Practice
Visible;Zichtbaar;Zichtbaar;Visible;Visible
Text;Tekst;Tekst;Text;Text
NewText;Nieuwe uitleg;Nieuwe uitleg;New explanation;New explanation
ClickSwitchHintExplainText;Klik op de schakelaar om de uitleg te veranderen;Klik op de schakelaar om de uitleg te veranderen;Click on the switch to change the explanation;Click on the switch to change the explanation
StrijkenBB_buttonOnly;-;-;-;-
StrijkenSB_buttonOnly;-;-;-;-
UitbrengenBB_buttonOnly;-;-;-;-
UitbrengenSB_buttonOnly;-;-;-;-
VastroeienBB_buttonOnly;-;-;-;-
VastroeienSB_buttonOnly;-;-;-;-
BakboortBest_buttonOnly;-;-;-;-
StuurboordBest_buttonOnly;-;-;-;-
StartSpinTurnPractice;Rondmaken oefening (v.a. les 3);Rondmaken oefening;Spin turn practice;Spin turn practice
SpinTurnPracticeExplainText;Vaar naar de ster en gebruik eerst {RondmakenBB} en bij de bocht {RondmakenSB} om de boot te draaien. Leg de boot stil voor dat je gaat rondmaken.;Vaar naar de ster en gebruik eerst {RondmakenBB} en bij de bocht {RondmakenSB} om de boot te draaien. Leg de boot stil voor dat je gaat rondmaken.;Sail towards the star and first use {RondmakenBB}, then use {RondmakenSB} at the bend to turn the boat. Bring the boat to a stop before starting to turn.;Sail towards the star and first use {RondmakenBB}, then use {RondmakenSB} at the bend to turn the boat. Bring the boat to a stop before starting to turn.
RondmakenBB_shorttooltip;Rondmaken over BB, beginnen strijken BB vanaf... nu;Rondmaken over BB, beginnen strijken BB vanaf... nu;-;Rondmaken over BB, beginnen strijken BB vanaf... nu
RondmakenSB_shorttooltip;Rondmaken over SB, beginnen strijken SB vanaf...nu;Rondmaken over SB, beginnen strijken SB vanaf...nu;-;Rondmaken over SB, beginnen strijken SB vanaf...nu
DefaultBoatType;Scull;Scull;Scull;Scull
BoatType;Boottype;Boottype;Boat type;
Scull;Scull;Scull;Scull;
Sweep;Boord;Boord;Sweep;
ShareSettingsText;Genereer een link met je instellingen die je kan delen met andere gebruikers.;Genereer een link met je instellingen die je kan delen met andere gebruikers.;Generate a link to share your settings with other users.;Generate a link to share your settings with other users.
ShareSettingsName;Naam voor in keuze menu: ;Naam voor in keuze menu: ;Name for in the menu;Name for in the menu: 
Cancel;Annuleer;Annuleer;Cancel;Cancel
StartShare;Deel;Deel;Share;Share
SharedSettings;Gedeelde instellingen;Gedeelde instellingen;Shared settings;Shared settings
ShareSettingsExplain;(Bijvoorbeeld je verenigingsnaam);(Bijvoorbeeld je verenigingsnaam);(For example your club name);(For example your club name)
Preview;Voorvertoning:;Voorvertoning:;Preview:;Preview:
MailQuestion;(Als je vraag hebt mail: tijmen@vangulik.org);(Als je vraag hebt mail: tijmen@vangulik.org);(If you have a question mail: tijmen@vangulik.org);(If you have a question mail: tijmen@vangulik.org)
ModifyPractices;Aanpassen oefeningen;Aanpassen oefeningen;Modify practices;Modify practices
ModifyLanguages;Aanpassen commando's;Aanpassen commando's;Modify commands;Modify commands
ModifyButtons;Aanpassen knoppen;Aanpassen knoppen;Modify buttons;Modify buttons
MoringBBExplainRaftText;Voer de volgende stappen uit om aan te legen aan het vlot aan bakboord. De boot moet aangelegd en stil liggen op de plek van de ster. \n\n1) {SlagklaarAf} : vaar onder een hoek van 45 graden richting de kant\n2) {LightPaddle} : ongeveer halverwege\n3) {LaatLopen} : vlak voor de kant \n4) {RiemenHoogBB} : direct daarna\n5) {VastroeienSB} : om te draaien \n6) {Bedankt} als de boot parallel langs de kant ligt\n;Voer de volgende stappen uit om aan te legen aan het vlot aan bakboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {SlagklaarAf} : vaar onder een hoek van 45 graden richting de kant\n2) {LightPaddle} : ongeveer halverwege\n3) {LaatLopen} : vlak voor de kant \n4) {RiemenHoogBB} : direct daarna\n5) {VastroeienSB} : om te draaien \n6) {Bedankt} als de boot parallel langs de kant ligt\n;To moor the boat to the port side float, follow these steps. The boat must be docked and stationary at the location of the star.\n\n{SlagklaarAf}: Sail at a 45 degree angle towards the shore.\n{LightPaddle}: Approximately halfway.\n{LaatLopen}: Just before reaching the shore.\n{RiemenHoogBB}: Immediately after.\n{VastroeienSB}: To turn the boat.\n{Bedankt} when the boat is parallel to the shore;To moor the boat to the port side float, follow these steps. The boat must be docked and stationary at the location of the star.\n\n{SlagklaarAf}: Sail at a 45 degree angle towards the shore.\n{LightPaddle}: Approximately halfway.\n{LaatLopen}: Just before reaching the shore.\n{RiemenHoogBB}: Immediately after.\n{VastroeienSB}: To turn the boat.\n{Bedankt} when the boat is parallel to the shore
StartAanleggenBB;Aanleggen aan bakboord oefening;Aanleggen aan bakboord oefening;Docking port side practice;Docking port side practice
StartAangelegdBB;Wegvaren oefening bakboord wal;Wegvaren oefening (Peddelend strijken BB);Sail away practice port side;Sail away practice port side
StartAangelegdUitzettenBB;Wegvaren oefening (uitzetten BB);Wegvaren oefening (uitzetten BB);Sail away practice (push away port side);Sail away practice (push away port side)
SailAwayBBExplainText;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {PeddelendStrijkenBB} : eindig met {Bedankt} als er genoeg ruimte is om de riemen uit te brengen \n2) {UitbrengenBB} \n3) {StrijkenSB} : als de boot weer recht licht eindig met {Bedankt} \n4) {SlagklaarAf} om weg te varen.;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {PeddelendStrijkenBB} : eindig met {Bedankt} als er genoeg ruimte is om de riemen uit te brengen \n2) {UitbrengenBB} \n3) {StrijkenSB} : als de boot weer recht licht eindig met {Bedankt} \n4) {SlagklaarAf} om weg te varen.;Perform the following steps to depart from the float. Sail over the star to end the practice.\n\n1) {PeddelendStrijkenBB} : and end with {Bedankt}  if there is enough space to bring out the oars \n2) {UitbrengenBB} \n3) {StrijkenSB} : when the boat is parallel to the float {Bedankt} \n4) {SlagklaarAf} to depart.;Perform the following steps to depart from the float. Sail over the star to end the practice.\n\n1) {PeddelendStrijkenBB} : and end with {Bedankt}  if there is enough space to bring out the oars \n2) {UitbrengenBB} \n3) {StrijkenSB} : when the boat is parallel to the float {Bedankt} \n4) {SlagklaarAf} to depart.
SailAwayExplainPushAwayBBText;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {UitzettenBB}  en wacht tot de riemen op het water rusten\n2) Gebruik {StrijkenSB} om de boot naar de ster te richten. \n3) {VastroeienBeideBoorden} als de boot nog niet stil ligt en {SlagklaarAf} om weg te varen.;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {UitzettenBB}  en wacht tot de riemen op het water rusten\n2) Gebruik {StrijkenSB} om de boot naar de ster te richten. \n3) {VastroeienBeideBoorden} als de boot nog niet stil ligt en {SlagklaarAf} om weg te varen.;"Perform the following steps to depart from the float. Sail over the star to end the practice.:
\n\n1) {UitzettenBB}: extend the oars and wait until they rest on the water\n2) {StrijkenSB}  to point the boat at the star. \n3) {VastroeienBeideBoorden} when the boat is still moving and {SlagklaarAf}: sail away";"Perform the following steps to depart from the float. Sail over the star to end the practice.:
\n\n1) {UitzettenBB}: extend the oars and wait until they rest on the water\n2) {StrijkenSB}  to point the boat at the star. \n3) {VastroeienBeideBoorden} when the boat is still moving and {SlagklaarAf}: sail away"
StartMoringHarbourBB;Aanleggen haven bakboord wal;Aanleggen haven bakboord wal;Mooring in harbour port side;Mooring in harbour port side
MoringHarbourBBExplainText;Voer de volgende stappen uit om aan te legen aan het vlot aan stuurboord in de haven. De boot moet aangelegd en stil liggen op de plek van de ster. \n\n1) {SlagklaarAf} : vaar eerste richting de haven\n2) Draai de boot met eerste {VastroeienBB} en daarna {HalenSB} \n3) Roei naar het vlot met {HalenBeideBoorden}. Gebruik {LightPaddle} of maar 1 haal voor niet te veel snelheid. Ligt je boot niet precies uitgelijnd met het vlot dan kun je eerst wat afstand nemen met {StrijkenBeidenBoorden} en dan met {LightPaddle} langzaam naar de haven varen. Met {StuurboordBest} en {BakboortBest} kun je de boot goed richten. \n4) {RiemenHoogBB} : Vlak voor het vlot\n5) {Bedankt} als de boot langs de kant ligt bij de ster\n\nEr zijn ook andere manieren van aanleggen, als er genoeg ruimte is zoals bij deze haven kun je onder een kleine hoek aanvaren en met {VastroeienSB} de boot stil te leggen. \n;Voer de volgende stappen uit om aan te legen aan het vlot aan stuurboord in de haven. De boot moet aangelegd en stil liggen op de plek van de ster. \n\n1) {SlagklaarAf} : vaar eerste richting de haven\n2) Draai de boot met eerste {VastroeienBB} en daarna {HalenSB} \n3) Roei naar het vlot met {HalenBeideBoorden}. Gebruik {LightPaddle} of maar 1 haal voor niet te veel snelheid. Ligt je boot niet precies uitgelijnd met het vlot dan kun je eerst wat afstand nemen met {StrijkenBeidenBoorden} en dan met {LightPaddle} langzaam naar de haven varen. Met {StuurboordBest} en {BakboortBest} kun je de boot goed richten. \n4) {RiemenHoogBB} : Vlak voor het vlot\n5) {Bedankt} als de boot langs de kant ligt bij de ster\n\nEr zijn ook andere manieren van aanleggen, als er genoeg ruimte is zoals bij deze haven kun je onder een kleine hoek aanvaren en met {VastroeienSB} de boot stil te leggen. \n;To moor the boat to the port side float in the harbour, follow these steps. The boat must be docked and stationary at the location of the star.\n\n1) {SlagklaarAf} : first sail to the harbour.\n2) First turn the boat with {VastroeienBB} and then with {HalenSB} \n3) Row to the float using {HalenBeideBoorden}. When the boat is fully aligned with the float create some distance using {StrijkenBeidenBoorden}, and then slowly row towards the dock with {LightPaddle}. You can steer the boat well using {StuurboordBest} and {BakboortBest}. \n4) {RiemenHoogBB} : Just before the float\n5) {Bedankt} when the boat is alongside the float at the star.\n\nIf there's enough space, you can also approach at a slight angle and use {VastroeienSB} to stop the boat.\n;To moor the boat to the port side float in the harbour, follow these steps. The boat must be docked and stationary at the location of the star.\n\n1) {SlagklaarAf} : first sail to the harbour.\n2) First turn the boat with {VastroeienBB} and then with {HalenSB} \n3) Row to the float using {HalenBeideBoorden}. When the boat is fully aligned with the float create some distance using {StrijkenBeidenBoorden}, and then slowly row towards the dock with {LightPaddle}. You can steer the boat well using {StuurboordBest} and {BakboortBest}. \n4) {RiemenHoogBB} : Just before the float\n5) {Bedankt} when the boat is alongside the float at the star.\n\nIf there's enough space, you can also approach at a slight angle and use {VastroeienSB} to stop the boat.\n
BladeColor;Kleur blad:;Blad kleur:;Blade color:;Blade color:
MoreSubMenu;Meer...;Meer...;More...;More...
SlowUpdateSpeedDetected;Beeldverversing is traag;Beeldverversing is traag;Screen refresh is slow;Screen refresh is slow
SwitchToLowResolution;Verlaag schermresolutie;Verlaag schermresolutie;Lower screen resolution;Lower screen resolution
